id,name,height_m,lat,lon,gridref,region
1,Ben Nevis,1344.5,56.79656,-5.00393,NN166712,Fort William to Loch Treig & Loch Leven
2,Ben Macdui,1309.3,57.07043,-3.66991,NN988989,Cairngorms
3,Braeriach,1295.5,57.07863,-3.72802,NN953999,Cairngorms
4,Cairn Toul,1292.4,57.05461,-3.71042,NN963972,Cairngorms
5,Sgor an Lochain Uaine,1258.0,57.058,-3.72542,NN954976,Cairngorms
6,Cairn Gorm,1244.8,57.1166,-3.64391,NJ005040,Cairngorms
7,Aonach Beag,1234.2,56.80046,-4.95346,NN197715,Fort William to Loch Treig & Loch Leven
8,Càrn Mòr Dearg,1221.1,56.80506,-4.98659,NN177721,Fort William to Loch Treig & Loch Leven
9,Aonach Mòr,1220.4,56.81286,-4.96099,NN193729,Fort William to Loch Treig & Loch Leven
10,Ben Lawers,1214.3,56.54517,-4.22092,NN635414,Glen Lyon to Glen Dochart & Loch Tay
11,Beinn a' Bhùird,1196.0,57.08787,-3.49907,NJ092006,Cairngorms
12,Beinn Mheadhoin,1182.9,57.09545,-3.61161,NJ024016,Cairngorms
13,Càrn Eige,1182.8,57.2873,-5.11521,NH123261,Loch Duich to Cannich
14,Mam Sodhail,1179.4,57.28,-5.11958,NH120253,Loch Duich to Cannich
15,Stob Choire Claurigh,1178.3,56.82353,-4.85037,NN261738,Fort William to Loch Treig & Loch Leven
16,Ben More,1173.9,56.38625,-4.54054,NN432244,Loch Lomond to Strathyre
17,Ben Avon,1172.0,57.09939,-3.43516,NJ131018,Cairngorms
18,Stob Binnein,1164.8,56.37106,-4.53629,NN434227,Loch Lomond to Strathyre
19,Beinn Bhrotain,1157.0,57.00951,-3.72317,NN954922,Cairngorms
20,Derry Cairngorm,1155.8,57.06298,-3.62175,NO017980,Cairngorms
21,Lochnagar,1155.7,56.96037,-3.24562,NO243861,Braemar to Montrose
22,Sgurr na Lapaich,1151.9,57.36957,-5.05897,NH161351,Killilan to Inverness
23,Sgurr nan Ceathreamhnan,1149.7,57.25494,-5.22194,NH057228,Loch Duich to Cannich
24,Bidean nam Bian,1149.4,56.64314,-5.02924,NN143542,Loch Linnhe to Loch Etive
25,Ben Alder,1148.0,56.81378,-4.46455,NN496718,Loch Treig to Loch Ericht
26,Ben Lui,1131.4,56.39661,-4.81026,NN266262,Inveraray to Crianlarich
27,Geal-Chàrn,1131.4,56.83802,-4.51041,NN469746,Loch Treig to Loch Ericht
